"Index Name","Date","Open","High","Low","Close"
"NIFTY TOTAL MARKET","03 Jan 2024","10920.10","10924.45","10870.85","10885.20"
"NIFTY TOTAL MARKET","02 Jan 2024","10953.05","10954.80","10825.00","10910.40"
"NIFTY TOTAL MARKET","01 Jan 2024","10924.75","10977.70","10908.55","10936.95"
"NIFTY TOTAL MARKET","29 Dec 2023","10889.75","10922.10","10858.00","10910.40"
"NIFTY TOTAL MARKET","28 Dec 2023","10872.15","10899.75","10845.15","10891.35"
"NIFTY TOTAL MARKET","27 Dec 2023","10796.80","10845.95","10777.80","10837.25"
"NIFTY TOTAL MARKET","26 Dec 2023","10726.60","10769.65","10707.20","10756.70"
"NIFTY TOTAL MARKET","22 Dec 2023","10678.55","10723.20","10634.50","10702.75"
"NIFTY TOTAL MARKET","21 Dec 2023","10468.35","10651.95","10431.05","10638.50"
"NIFTY TOTAL MARKET","20 Dec 2023","10823.55","10845.35","10513.75","10542.85"
"NIFTY TOTAL MARKET","19 Dec 2023","10793.50","10794.15","10712.25","10769.95"
"NIFTY TOTAL MARKET","18 Dec 2023","10757.15","10786.30","10714.35","10761.15"
"NIFTY TOTAL MARKET","15 Dec 2023","10715.20","10764.55","10687.10","10753.60"
"NIFTY TOTAL MARKET","14 Dec 2023","10625.35","10672.15","10618.85","10659.90"
"NIFTY TOTAL MARKET","13 Dec 2023","10519.55","10548.95","10453.70","10538.20"
"NIFTY TOTAL MARKET","12 Dec 2023","10568.00","10573.60","10468.95","10498.00"
"NIFTY TOTAL MARKET","11 Dec 2023","10518.95","10549.85","10510.25","10544.55"
"NIFTY TOTAL MARKET","08 Dec 2023","10532.90","10552.80","10439.90","10504.45"
"NIFTY TOTAL MARKET","07 Dec 2023","10502.70","10516.30","10458.60","10505.45"
"NIFTY TOTAL MARKET","06 Dec 2023","10493.30","10505.10","10445.20","10492.75"
"NIFTY TOTAL MARKET","05 Dec 2023","10419.60","10446.60","10366.95","10443.05"
"NIFTY TOTAL MARKET","04 Dec 2023","10355.10","10373.85","10294.70","10367.40"
"NIFTY TOTAL MARKET","01 Dec 2023","10155.50","10197.95","10151.00","10182.45"
"NIFTY TOTAL MARKET","30 Nov 2023","10077.20","10123.75","10030.25","10113.40"
"NIFTY TOTAL MARKET","29 Nov 2023","10025.95","10067.80","10021.95","10063.80"
"NIFTY TOTAL MARKET","28 Nov 2023","9954.50","9985.30","9934.35","9975.40"
"NIFTY TOTAL MARKET","24 Nov 2023","9931.75","9945.25","9914.85","9921.45"
"NIFTY TOTAL MARKET","23 Nov 2023","9926.95","9949.65","9912.25","9918.65"
"NIFTY TOTAL MARKET","22 Nov 2023","9919.40","9928.00","9858.45","9911.45"
"NIFTY TOTAL MARKET","21 Nov 2023","9923.40","9933.80","9907.00","9912.95"
"NIFTY TOTAL MARKET","20 Nov 2023","9906.80","9917.90","9872.90","9883.05"
"NIFTY TOTAL MARKET","17 Nov 2023","9860.00","9922.40","9855.25","9895.40"
"NIFTY TOTAL MARKET","16 Nov 2023","9849.50","9931.65","9832.50","9889.75"
"NIFTY TOTAL MARKET","15 Nov 2023","9834.10","9848.65","9809.55","9842.75"
"NIFTY TOTAL MARKET","13 Nov 2023","9742.95","9745.15","9712.30","9735.55"
"NIFTY TOTAL MARKET","12 Nov 2023","9767.30","9769.55","9749.40","9757.10"
"NIFTY TOTAL MARKET","10 Nov 2023","9658.40","9706.00","9641.05","9696.10"
"NIFTY TOTAL MARKET","09 Nov 2023","9711.15","9713.15","9669.10","9673.90"
"NIFTY TOTAL MARKET","08 Nov 2023","9688.00","9702.05","9672.35","9696.45"
"NIFTY TOTAL MARKET","07 Nov 2023","9646.20","9663.60","9619.35","9656.55"
"NIFTY TOTAL MARKET","06 Nov 2023","9608.60","9644.80","9596.80","9639.25"
