"Index Name","Date","Open","High","Low","Close"
"NIFTY FINANCIAL SERVICES","20 Mar 2023","17665.80","17665.80","17379.95","17549.75"
"NIFTY FINANCIAL SERVICES","17 Mar 2023","17577.05","17728.85","17386.20","17671.40"
"NIFTY FINANCIAL SERVICES","16 Mar 2023","17429.95","17564.45","17261.30","17463.90"
"NIFTY FINANCIAL SERVICES","15 Mar 2023","17693.45","17746.25","17361.85","17410.75"
"NIFTY FINANCIAL SERVICES","14 Mar 2023","17617.50","17717.65","17456.45","17545.75"
"NIFTY FINANCIAL SERVICES","13 Mar 2023","17907.55","18079.00","17584.00","17635.00"
"NIFTY FINANCIAL SERVICES","10 Mar 2023","18077.30","18088.00","17863.20","17927.75"
"NIFTY FINANCIAL SERVICES","09 Mar 2023","18374.95","18445.70","18237.20","18255.50"
"NIFTY FINANCIAL SERVICES","08 Mar 2023","18316.00","18410.90","18272.30","18393.20"
"NIFTY FINANCIAL SERVICES","06 Mar 2023","18336.35","18466.20","18320.20","18369.55"
"NIFTY FINANCIAL SERVICES","03 Mar 2023","18070.35","18322.80","18024.25","18264.50"
"NIFTY FINANCIAL SERVICES","02 Mar 2023","18070.20","18144.15","17920.40","17946.95"
"NIFTY FINANCIAL SERVICES","01 Mar 2023","18083.50","18136.10","18037.95","18100.30"
"NIFTY FINANCIAL SERVICES","28 Feb 2023","17969.70","18059.85","17909.45","17989.65"
"NIFTY FINANCIAL SERVICES","27 Feb 2023","17819.55","18037.00","17787.10","18001.40"
"NIFTY FINANCIAL SERVICES","24 Feb 2023","18022.25","18036.75","17827.95","17864.10"
"NIFTY FINANCIAL SERVICES","23 Feb 2023","17926.50","17984.65","17763.75","17912.10"
"NIFTY FINANCIAL SERVICES","22 Feb 2023","18186.05","18204.55","17905.20","17941.25"
"NIFTY FINANCIAL SERVICES","21 Feb 2023","18295.70","18378.35","18215.40","18262.45"
"NIFTY FINANCIAL SERVICES","20 Feb 2023","18473.60","18503.80","18208.55","18252.55"
"NIFTY FINANCIAL SERVICES","17 Feb 2023","18539.15","18555.80","18317.40","18434.10"
"NIFTY FINANCIAL SERVICES","16 Feb 2023","18714.05","18738.85","18541.85","18587.80"
"NIFTY FINANCIAL SERVICES","15 Feb 2023","18595.10","18663.00","18494.95","18636.95"
"NIFTY FINANCIAL SERVICES","14 Feb 2023","18483.85","18619.50","18425.60","18595.70"
"NIFTY FINANCIAL SERVICES","13 Feb 2023","18504.05","18540.10","18342.15","18428.95"
"NIFTY FINANCIAL SERVICES","10 Feb 2023","18476.25","18565.45","18463.90","18516.20"
"NIFTY FINANCIAL SERVICES","09 Feb 2023","18525.45","18538.00","18396.65","18511.80"
"NIFTY FINANCIAL SERVICES","08 Feb 2023","18415.50","18566.75","18405.35","18485.95"
"NIFTY FINANCIAL SERVICES","07 Feb 2023","18421.65","18455.95","18242.90","18395.65"
"NIFTY FINANCIAL SERVICES","06 Feb 2023","18440.80","18510.20","18296.85","18371.60"
"NIFTY FINANCIAL SERVICES","03 Feb 2023","18132.15","18462.15","18074.65","18447.65"
"NIFTY FINANCIAL SERVICES","02 Feb 2023","17839.50","18085.60","17747.90","18022.15"
"NIFTY FINANCIAL SERVICES","01 Feb 2023","18294.90","18658.65","17715.65","18084.80"
"NIFTY FINANCIAL SERVICES","31 Jan 2023","18155.10","18175.70","17950.50","18095.00"
"NIFTY FINANCIAL SERVICES","30 Jan 2023","17836.10","18175.65","17707.45","18091.25"
"NIFTY FINANCIAL SERVICES","27 Jan 2023","18372.65","18383.55","17916.55","18030.85"
"NIFTY FINANCIAL SERVICES","25 Jan 2023","18869.10","18886.10","18447.05","18488.55"
"NIFTY FINANCIAL SERVICES","24 Jan 2023","18957.55","19003.80","18844.90","18890.00"
"NIFTY FINANCIAL SERVICES","23 Jan 2023","18897.30","18961.85","18843.35","18887.50"
"NIFTY FINANCIAL SERVICES","20 Jan 2023","18799.75","18873.00","18751.70","18772.40"
"NIFTY FINANCIAL SERVICES","19 Jan 2023","18740.15","18797.00","18685.00","18739.70"
"NIFTY FINANCIAL SERVICES","18 Jan 2023","18617.10","18785.20","18560.10","18753.50"
"NIFTY FINANCIAL SERVICES","17 Jan 2023","18531.20","18632.45","18447.20","18604.25"
"NIFTY FINANCIAL SERVICES","16 Jan 2023","18763.10","18794.85","18461.05","18506.25"
"NIFTY FINANCIAL SERVICES","13 Jan 2023","18567.15","18682.45","18453.90","18646.20"
"NIFTY FINANCIAL SERVICES","12 Jan 2023","18571.10","18632.35","18411.55","18540.05"
"NIFTY FINANCIAL SERVICES","11 Jan 2023","18485.80","18608.95","18347.30","18566.60"
"NIFTY FINANCIAL SERVICES","10 Jan 2023","18758.20","18771.60","18412.40","18474.05"
"NIFTY FINANCIAL SERVICES","09 Jan 2023","18687.60","18805.10","18608.05","18731.55"
"NIFTY FINANCIAL SERVICES","06 Jan 2023","18808.65","18816.45","18500.10","18603.75"
"NIFTY FINANCIAL SERVICES","05 Jan 2023","19042.15","19045.20","18670.15","18782.20"
"NIFTY FINANCIAL SERVICES","04 Jan 2023","19172.60","19257.05","18966.75","19007.00"
"NIFTY FINANCIAL SERVICES","03 Jan 2023","19041.55","19219.55","19041.55","19196.05"
"NIFTY FINANCIAL SERVICES","02 Jan 2023","18982.50","19123.50","18937.15","19074.45"
"NIFTY FINANCIAL SERVICES","30 Dec 2022","19161.95","19166.70","18922.30","18981.20"
"NIFTY FINANCIAL SERVICES","29 Dec 2022","18903.15","19179.15","18796.95","19090.60"
"NIFTY FINANCIAL SERVICES","28 Dec 2022","18956.30","19042.60","18940.55","18982.85"
"NIFTY FINANCIAL SERVICES","27 Dec 2022","19002.05","19036.85","18838.30","19011.20"
"NIFTY FINANCIAL SERVICES","26 Dec 2022","18610.70","19010.65","18559.20","18928.65"
"NIFTY FINANCIAL SERVICES","23 Dec 2022","18675.70","18779.25","18571.95","18595.60"
"NIFTY FINANCIAL SERVICES","22 Dec 2022","19026.15","19053.75","18787.15","18858.60"
"NIFTY FINANCIAL SERVICES","21 Dec 2022","19283.40","19329.00","18839.00","18925.20"
"NIFTY FINANCIAL SERVICES","20 Dec 2022","19149.50","19245.95","19068.15","19222.30"
"NIFTY FINANCIAL SERVICES","19 Dec 2022","19153.50","19295.90","19100.20","19277.70"
"NIFTY FINANCIAL SERVICES","16 Dec 2022","19106.00","19220.35","19030.75","19111.95"
"NIFTY FINANCIAL SERVICES","15 Dec 2022","19421.15","19477.20","19171.10","19216.00"
"NIFTY FINANCIAL SERVICES","14 Dec 2022","19465.90","19515.90","19433.60","19466.00"
"NIFTY FINANCIAL SERVICES","13 Dec 2022","19346.25","19429.95","19336.45","19409.85"
"NIFTY FINANCIAL SERVICES","12 Dec 2022","19191.55","19357.35","19148.70","19313.80"
"NIFTY FINANCIAL SERVICES","09 Dec 2022","19362.40","19367.85","19200.20","19290.35"
"NIFTY FINANCIAL SERVICES","08 Dec 2022","19185.15","19312.70","19156.55","19292.40"
"NIFTY FINANCIAL SERVICES","07 Dec 2022","19247.20","19303.30","19139.45","19180.45"
"NIFTY FINANCIAL SERVICES","06 Dec 2022","19174.30","19256.95","19174.30","19242.30"
"NIFTY FINANCIAL SERVICES","05 Dec 2022","19300.40","19319.35","19165.15","19297.30"
